Site,Genus,Species,Photosynthesis pathway,Taxa,Code,Block,Plot,Treatment,N_added,P_added,LOG_GS,GS,Stand_MAT,Stand_MAP,Lifeform_2,Lifeform,SQRT_Amax,SQRT_E,Amax,E (mmol m-2 s-1),SQT_E in mmol,E (mol m-2 s-1),Instant_WUE,WUE,SQRT_StomataDensity,Stomata_Density,Stomata_Size_avg,C_PerCell mg,N_PerCell mg,P_PerCell mg,SQRT_C_percell in mg,SQRT_N_perCell in mg,SQRT_P_perCell in mg,N_PerCell in ng,Sqrt N per Cell in ng,SQRT C per Cell in ng,SQRT_ P per cell in ng,MAT_v2,MAP_v2
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,8,C,N_NO,P_NO,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,4.120611604,0.096936567,16.97943999,9.396698,3.065403399,0.009396698,1.806958145,1806.958145,,,,0.00024575,8.25235E-06,1.02013E-06,0.015676426,0.00287269,0.001010017,8.252348993,2.872690201,15.67642611,1.010016945,8.795833436,903
kbs.us,Achillea,millefolium,C3,Achillea_millefolium,ACMI2,3,5,NP,N_YES,P_YES,2.51373869,11.35102049,-0.34365994,0.088205798,allforb,FORB,4.698583072,0.079176594,22.07668288,6.268933,2.503783737,0.006268933,3.521601344,3521.601344,,,,0.000244499,9.87919E-06,1.42282E-06,0.015636474,0.003143119,0.00119282,9.879194631,3.143118615,15.63647431,1.192819681,8.795833436,903
cdcr.us,Ambrosia,artemisiifolia,C3,Ambrosia_artemisiifolia,AMAR,2,24,N,N_YES,P_NO,1.22729863,2.412,-0.853471586,-1.185753888,allforb,FORB,6.175292192,0.175550545,38.13423366,30.817994,5.55139568,0.030817994,1.237401554,1237.401554,39.68626967,1575,20.875,5.7063E-05,2.51215E-06,,0.007554006,0.001584976,,2.512149533,1.584976193,7.554006316,,6.337500023,740
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,3,25,N,N_YES,P_NO,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,1.523724756,0.066972793,2.321737133,4.485355,2.117865671,0.004485355,0.517626171,517.6261707,,,,7.43219E-05,5.7548E-06,2.01229E-07,0.008621015,0.002398916,0.000448586,5.754799054,2.398916225,8.621014514,0.448585905,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,3,28,NP,N_YES,P_YES,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,1.966010278,0.037950863,3.865196412,1.440268,1.200111661,0.001440268,2.683664715,2683.664715,,,,7.67816E-05,5.48889E-06,4.86903E-07,0.008762509,0.002342838,0.000697784,5.488888889,2.342837785,8.762508789,0.697784403,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,2,14,N,N_YES,P_NO,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,2.525321749,0.046934124,6.377249938,2.202812,1.48418732,0.002202812,2.895049572,2895.049572,,,,7.43219E-05,5.7548E-06,2.01229E-07,0.008621015,0.002398916,0.000448586,5.754799054,2.398916225,8.621014514,0.448585905,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,2,13,P,N_NO,P_YES,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,2.861022021,0.094114935,8.185447006,8.857621,2.976175566,0.008857621,0.924113484,924.1134844,,,,6.86318E-05,2.29617E-06,4.7253E-07,0.00828443,0.001515312,0.000687408,2.296170213,1.515311919,8.284429555,0.687407849,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,3,21,C,N_NO,P_NO,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,2.952924373,0.059787306,8.719762354,3.574522,1.890640632,0.003574522,2.439420531,2439.420531,,,,7.52328E-05,2.33929E-06,2.7669E-07,0.008673685,0.001529474,0.000526014,2.33929078,1.529474021,8.673685101,0.5260136,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,1,7,P,N_NO,P_YES,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,3.121402082,0.054891876,9.743150955,3.013118,1.735833517,0.003013118,3.233577628,3233.577628,,,,6.86318E-05,2.29617E-06,4.7253E-07,0.00828443,0.001515312,0.000687408,2.296170213,1.515311919,8.284429555,0.687407849,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,2,18,C,N_NO,P_NO,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,3.715119663,0.142906837,13.80211411,20.422364,4.519110975,0.020422364,0.675833322,675.8333222,,,,7.52328E-05,2.33929E-06,2.7669E-07,0.008673685,0.001529474,0.000526014,2.33929078,1.529474021,8.673685101,0.5260136,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,1,1,NP,N_YES,P_YES,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,3.857130926,0.061276439,14.87745898,3.754802,1.937731148,0.003754802,3.962248603,3962.248603,,,,7.67816E-05,5.48889E-06,4.86903E-07,0.008762509,0.002342838,0.000697784,5.488888889,2.342837785,8.762508789,0.697784403,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,2,19,NP,N_YES,P_YES,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,4.135994241,0.069009333,17.10644836,4.762288,2.182266711,0.004762288,3.592065066,3592.065066,,,,7.67816E-05,5.48889E-06,4.86903E-07,0.008762509,0.002342838,0.000697784,5.488888889,2.342837785,8.762508789,0.697784403,12.07500006,889
konz.us,Ambrosia,psilostachya,C3,Ambrosia_psilostachya,AMPS,1,5,N,N_YES,P_NO,1.918979319,5.814,0.33637692,-0.021214053,allforb,FORB,4.648848976,0.088547722,21.6117968,7.840699,2.800124819,0.007840699,2.756360983,2756.360983,,,,7.43219E-05,5.7548E-06,2.01229E-07,0.008621015,0.002398916,0.000448586,5.754799054,2.398916225,8.621014514,0.448585905,12.07500006,889
temple.us,Ambrosia,trifida,C3,Ambrosia_trifida,AMTR,3,4,N,N_YES,P_NO,1.549561634,3.709405289,1.854578704,-0.115002496,allforb,FORB,3.811908031,0.066545278,14.53064284,4.428274,2.104346454,0.004428274,3.281333278,3281.333278,24.49489743,600,15.5,6.69153E-05,3.45153E-06,2.23503E-07,0.008180177,0.001857829,0.000472761,3.451529933,1.857829361,8.180177219,0.472761384,19.39583355,877
temple.us,Ambrosia,trifida,C3,Ambrosia_trifida,AMTR,2,4,N,N_YES,P_NO,1.549561634,3.709405289,1.854578704,-0.115002496,allforb,FORB,3.837832234,0.061217375,14.72895626,3.747567,1.935863373,0.003747567,3.93027163,3930.27163,24.49489743,600,15.5,6.69153E-05,3.45153E-06,2.23503E-07,0.008180177,0.001857829,0.000472761,3.451529933,1.857829361,8.180177219,0.472761384,19.39583355,877
temple.us,Ambrosia,trifida,C3,Ambrosia_trifida,AMTR,3,3,P,N_NO,P_YES,1.549561634,3.709405289,1.854578704,-0.115002496,allforb,FORB,4.017250466,0.071411001,16.13830131,5.099531,2.258214117,0.005099531,3.164663831,3164.663831,24.49489743,600,15.5,6.53763E-05,3.01889E-06,5.4918E-07,0.008085562,0.001737496,0.000741067,3.018891353,1.737495713,8.085562398,0.741066529,19.39583355,877
temple.us,Ambrosia,trifida,C3,Ambrosia_trifida,AMTR,3,7,NP,N_YES,P_YES,1.549561634,3.709405289,1.854578704,-0.115002496,allforb,FORB,4.359734913,0.073434665,19.00728851,5.39265,2.322208001,0.00539265,3.524665704,3524.665704,24.49489743,600,15.5,6.55232E-05,3.21047E-06,5.31619E-07,0.00809464,0.001791777,0.000729122,3.210465632,1.791777227,8.094639764,0.729121818,19.39583355,877
temple.us,Ambrosia,trifida,C3,Ambrosia_trifida,AMTR,1,3,P,N_NO,P_YES,1.549561634,3.709405289,1.854578704,-0.115002496,allforb,FORB,5.190097249,0.12905338,26.93710945,16.654775,4.081026219,0.016654775,1.617380568,1617.380568,24.49489743,600,15.5,6.53763E-05,3.01889E-06,5.4918E-07,0.008085562,0.001737496,0.000741067,3.018891353,1.737495713,8.085562398,0.741066529,19.39583355,877
temple.us,Ambrosia,trifida,C3,Ambrosia_trifida,AMTR,2,3,P,N_NO,P_YES,1.549561634,3.709405289,1.854578704,-0.115002496,allforb,FORB,6.345950032,0.11806012,40.27108181,13.938192,3.733388809,0.013938192,2.88926152,2889.26152,24.49489743,600,15.5,6.53763E-05,3.01889E-06,5.4918E-07,0.008085562,0.001737496,0.000741067,3.018891353,1.737495713,8.085562398,0.741066529,19.39583355,877
konz.us,Amorpha,canescens,C3,Amorpha_canescens,AMCA6,1,5,N,N_YES,P_NO,1.043099579,1.838,0.33637692,-0.021214053,allforb,LEGUME,3.06229874,0.071915728,9.37767357,5.171872,2.274175015,0.005171872,1.813206818,1813.206818,33.1662479,1100,15.125,7.24549E-05,3.61173E-06,,0.008512043,0.001900454,,3.611726384,1.900454257,8.512043202,,12.07500006,889
konz.us,Amorpha,canescens,C3,Amorpha_canescens,AMCA6,1,1,NP,N_YES,P_YES,1.043099579,1.838,0.33637692,-0.021214053,allforb,LEGUME,3.110402931,0.05338704,9.674606393,2.850176,1.688246428,0.002850176,3.394389116,3394.389116,33.1662479,1100,15.125,6.87556E-05,2.96089E-06,,0.008291899,0.001720723,,2.960885993,1.720722521,8.291899426,,12.07500006,889
konz.us,Amorpha,canescens,C3,Amorpha_canescens,AMCA6,1,7,P,N_NO,P_YES,1.043099579,1.838,0.33637692,-0.021214053,allforb,LEGUME,3.593211502,0.061333563,12.9111689,3.761806,1.939537574,0.003761806,3.432172978,3432.172978,33.1662479,1100,15.125,6.91759E-05,3.30528E-06,,0.008317203,0.001818042,,3.305276873,1.818042044,8.317203238,,12.07500006,889
konz.us,Amorpha,canescens,C3,Amorpha_canescens,AMCA6,1,4,C,N_NO,P_NO,1.043099579,1.838,0.33637692,-0.021214053,allforb,LEGUME,4.389643294,0.079332515,19.26896825,6.293648,2.508714412,0.006293648,3.061653313,3061.653313,33.1662479,1100,15.125,6.97333E-05,3.06741E-06,,0.008350648,0.001751403,,3.067413681,1.751403346,8.350647637,,12.07500006,889
konz.us,Amorpha,canescens,C3,Amorpha_canescens,AMCA6,2,13,P,N_NO,P_YES,1.043099579,1.838,0.33637692,-0.021214053,allforb,LEGUME,4.42333321,0.090909004,19.56587669,8.264447,2.874795123,0.008264447,2.367475608,2367.475608,33.1662479,1100,15.125,6.91759E-05,3.30528E-06,,0.008317203,0.001818042,,3.305276873,1.818042044,8.317203238,,12.07500006,889
konz.us,Amorpha,canescens,C3,Amorpha_canescens,AMCA6,3,25,N,N_YES,P_NO,1.043099579,1.838,0.33637692,-0.021214053,allforb,LEGUME,4.538848225,0.103686436,20.60114321,10.750877,3.278853001,0.010750877,1.916229086,1916.229086,33.1662479,1100,15.125,7.24549E-05,3.61173E-06,,0.008512043,0.001900454,,3.611726384,1.900454257,8.512043202,,12.07500006,889
konz.us,Amorpha,canescens,C3,Amorpha_canescens,AMCA6,2,14,N,N_YES,P_NO,1.043099579,1.838,0.33637692,-0.021214053,allforb,LEGUME,4.767512648,0.101247622,22.72917685,10.251081,3.201730938,0.010251081,2.21724683,2217.24683,33.1662479,1100,15.125,7.24549E-05,3.61173E-06,,0.008512043,0.001900454,,3.611726384,1.900454257,8.512043202,,12.07500006,889
